"job_title,company,location,salary_min,salary_max,contract_type,category,job_url,created,scraped_at"
"Data Engineer / Data Modeler,Salt,India,0,0,contract,IT Jobs,https://www.adzuna.in/land/ad/5536063256?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=DF63C836056B2FF1C65B5D9A60AE478F6704A8BF,2025-12-10T16:48:55Z,2025-12-31 14:00:23.324691"
"Data Engineers/ Data Modelers,Tata Consultancy Services,India,0,0,,IT Jobs,https://www.adzuna.in/land/ad/5555201693?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=3A5F30EB3E7CECD9496ACD2B3DA21264A6D51D06,2025-12-25T13:39:22Z,2025-12-31 14:00:23.324691"
"Data Engineer/Data Scientist,Luxoft,""Pune, Maharashtra"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5546599193?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=290DB95E55088E03F650FD1F7F4EF4FD64DA68D5,2025-12-18T08:44:53Z,2025-12-31 14:00:23.324691"
"Data Analyst / Data Engineer,Teamware Solutions,""Chennai, Tamil Nadu"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5560710395?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=1E3F7B95AB08BD3DA237BC314493EC50BAEA21EE,2025-12-31T10:33:38Z,2025-12-31 14:00:23.324691"
"Azure Data engineer with data bricks,Tata Consultancy Services,India,0,0,,IT Jobs,https://www.adzuna.in/land/ad/5528013232?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=7E8182EE657FC513FDBDDBDAA0C105ADE811145A,2025-12-05T01:29:23Z,2025-12-31 14:00:23.324691"
"Sr. Data Modeler & Data Analyst,Cliff IT Solutions Inc.,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5301591302?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=2963B89877960738AB410F80538C5DACCE2B9C0C,2025-07-14T09:36:10Z,2025-12-31 14:00:23.324691"
"Senior Data Engineer- Big Data,HG Insights,""Pune, Maharashtra"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5549502698?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=E6A60B7615F7BADB5187EC73BA2F06426CAB18F7,2025-12-20T09:06:31Z,2025-12-31 14:00:23.324691"
"Data Scientist/ Sr Data Scientist,Aria Intelligent Solutions,""Delhi, India"",0,0,,Scientific & QA Jobs,https://www.adzuna.in/land/ad/5528013060?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=3B3187CEFCC3854DC616C3C0AF07C8044E5563E0,2025-12-05T01:29:04Z,2025-12-31 14:00:23.324691"
"Data Analyst,""NTT DATA, Inc."",India,0,0,,IT Jobs,https://www.adzuna.in/land/ad/5539009588?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=B950FAAA47A997D9FC554A52AB223BBA279E60B7,2025-12-12T09:49:02Z,2025-12-31 14:00:23.324691"
"Data Architect,Ally-eXecutive HR,India,0,0,,IT Jobs,https://www.adzuna.in/land/ad/5544190980?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=AAB30454CAC79AA25CD5C5589F0D5020D081D3C0,2025-12-16T18:13:09Z,2025-12-31 14:00:23.324691"
"Data Modeller,Tata Consultancy Services,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5546589734?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=F9AE5206519F9C850565DE6812F8F319D754602D,2025-12-18T08:43:28Z,2025-12-31 14:00:23.324691"
"Data Engineer,Juniper Green Energy,India,0,0,,IT Jobs,https://www.adzuna.in/land/ad/5559722890?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=BD03B1B320F743F83F2AE18F5885228EF3D80EF2,2025-12-30T10:29:36Z,2025-12-31 14:00:23.324691"
"Data Engineer,DevsTree IT Services Pvt. Ltd.,""Ahmedabad, Gujarat"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5560708653?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=FB76DD5718C8AEF7D31949C095518A8FE2E84040,2025-12-31T10:31:33Z,2025-12-31 14:00:23.324691"
"Data Modeler,EXL,""Pune, Maharashtra"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5539015160?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=5FF99FB100899982CF69547007B407C90AB33C20,2025-12-12T09:51:28Z,2025-12-31 14:00:23.324691"
"Data Engineer,Infosys,India,0,0,,IT Jobs,https://www.adzuna.in/land/ad/5553863213?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=032560131D97DD59B9AFB4614C156E3526435BC6,2025-12-24T10:12:18Z,2025-12-31 14:00:23.324691"
"Data Engineer,People Tech Group Inc,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5548137422?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=DBA72F5A1F279F84989E4487AF833BA0B69E131E,2025-12-19T08:58:57Z,2025-12-31 14:00:23.324691"
"Data Architect,ValueMomentum,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5534284879?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=6A240FFEAD463AFA0119DDE173A69434ECE2269A,2025-12-09T09:04:06Z,2025-12-31 14:00:23.324691"
"Data Modeler,Claidroid,""Pune, Maharashtra"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5539010166?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=0EABC4EACC3DBC0A23019651C9B35F76B8FEBF76,2025-12-12T09:49:32Z,2025-12-31 14:00:23.324691"
"Data Governance,Thryve Digital Health LLP,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5557294996?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=F3C296738BA48C5C0CC58DF7ADFEA100732BB066,2025-12-27T22:02:42Z,2025-12-31 14:00:23.324691"
"Data Governance,Thryve Digital Health LLP,""Chennai, Tamil Nadu"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5557297395?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=D64B1BC92BF74588FBAADAC1F4F75B87A9E7612D,2025-12-27T22:06:28Z,2025-12-31 14:00:23.324691"
"Data Architect,DAZN,""Hyderabad, Telangana"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5549500631?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=A448879904C288D409F518B99515C1A305C9CF18,2025-12-20T09:04:38Z,2025-12-31 14:00:23.324691"
"Data Engineer,Tata Consultancy Services,""Bangalore, Karnataka"",0,0,,IT Jobs,https://www.adzuna.in/land/ad/5546593355?se=QqCs8iLm8BGjJabxWt0eDQ&utm_medium=api&utm_source=a80a23e8&v=B05854836630E8625B7FF5718B9038A2011F418F,2025-12-18T08:44:01Z,2025-12-31 14:00:23.324691"
